Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/BPU_Profiler/incorrect_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/mispred_penalty_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/total_branches_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/correct_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hits_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_misses_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/instruction_completed_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/fetch_pc_debug[31:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/execution_cycles_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/penalty_counting_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX
1331,1331,0,12494010,269963749,13775964,277768630,000000004ce313e1,257469740,39962900,39962900,262873931,302836830,257469739,000000004ce313e2,00004d20,000000005af85b3c,000000005af85b3b,0
1332,1332,0,12494010,269963750,13775964,277768630,000000004ce313e2,257469740,39962900,39962900,262873931,302836831,257469740,000000004ce313e3,00004d20,000000005af85b3d,000000005af85b3c,0
1333,1333,0,12494010,269963750,13775964,277768630,000000004ce313e3,257469740,39962900,39962900,262873931,302836831,257469740,000000004ce313e3,00004d20,000000005af85b3d,000000005af85b3d,0
1334,1334,0,12494010,269963750,13775964,277768630,000000004ce313e3,257469740,39962900,39962900,262873931,302836831,257469740,000000004ce313e4,00004d18,000000005af85b3e,000000005af85b3d,0
1335,1335,0,12494010,269963750,13775964,277768630,000000004ce313e4,257469740,39962900,39962900,262873931,302836831,257469740,000000004ce313e4,00004d1c,000000005af85b3f,000000005af85b3e,0
1336,1336,0,12494010,269963750,13775964,277768631,000000004ce313e4,257469741,39962900,39962900,262873932,302836831,257469740,000000004ce313e5,00004d20,000000005af85b40,000000005af85b3f,0
1337,1337,0,12494010,269963751,13775964,277768631,000000004ce313e5,257469741,39962900,39962900,262873932,302836832,257469741,000000004ce313e6,00004d20,000000005af85b41,000000005af85b40,0
1338,1338,0,12494010,269963751,13775964,277768631,000000004ce313e6,257469741,39962900,39962900,262873932,302836832,257469741,000000004ce313e6,00004d20,000000005af85b41,000000005af85b41,0
1339,1339,0,12494010,269963751,13775964,277768631,000000004ce313e6,257469741,39962900,39962900,262873932,302836832,257469741,000000004ce313e7,00004d18,000000005af85b42,000000005af85b41,0
1340,1340,0,12494010,269963751,13775964,277768631,000000004ce313e7,257469741,39962900,39962900,262873932,302836832,257469741,000000004ce313e7,00004d1c,000000005af85b43,000000005af85b42,0
1341,1341,0,12494010,269963751,13775964,277768632,000000004ce313e7,257469742,39962900,39962900,262873933,302836832,257469741,000000004ce313e8,00004d20,000000005af85b44,000000005af85b43,0
1342,1342,0,12494010,269963752,13775964,277768632,000000004ce313e8,257469742,39962900,39962900,262873933,302836833,257469742,000000004ce313e9,00004d20,000000005af85b45,000000005af85b44,0
1343,1343,0,12494010,269963752,13775964,277768632,000000004ce313e9,257469742,39962900,39962900,262873933,302836833,257469742,000000004ce313e9,00004d20,000000005af85b45,000000005af85b45,0
1344,1344,0,12494010,269963752,13775964,277768632,000000004ce313e9,257469742,39962900,39962900,262873933,302836833,257469742,000000004ce313ea,00004d18,000000005af85b46,000000005af85b45,0
1345,1345,0,12494010,269963752,13775964,277768632,000000004ce313ea,257469742,39962900,39962900,262873933,302836833,257469742,000000004ce313ea,00004d1c,000000005af85b47,000000005af85b46,0
1346,1346,0,12494010,269963752,13775964,277768633,000000004ce313ea,257469743,39962900,39962900,262873934,302836833,257469742,000000004ce313eb,00004d20,000000005af85b48,000000005af85b47,0
